date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-08-21,543,44.349998,11262,44.91,45.119999,43.599998,23170,23070,28,1273,31,3,2279,352558,139,20264,283832,22768896,6926,837072,28,408,194,28,0,0,2020,8,21,21aug2020,.021995287,.0080293976,.015484194,.020069305,.024208192
2020-08-22,1481,44.349998,11262,44.91,45.119999,43.599998,23050,22950,54,820,31,3,2206,354764,112,20376,279408,23048304,6179,843251,26,1313,511,26,0,0,2020,8,22,22aug2020,.065853655,.0078952638,.015392195,.01812591,.024163624
2020-08-23,1162,44.349998,11262,44.91,45.119999,43.599998,23000,22900,32,742,28,2,2028,356792,126,20502,264691,23312995,6100,849351,42,1030,390,43,0,0,2020,8,23,23aug2020,.043126684,.007661764,.015304426,.020655738,.02413843
2020-08-24,1268,45.130001,8849,44.419998,45.169998,44.279999,23120,23020,51,1916,28,2,2113,358905,141,20643,266097,23579092,5569,854920,44,1096,484,44,0,1,2020,8,24,24aug2020,.026617954,.0079407133,.015221324,.025318729,.024146119
2020-08-25,917,45.860001,8995,44.990002,46.040001,44.990002,23450,23350,63,1855,28,2,2245,361150,133,20776,225179,23804271,4626,859546,53,731,499,53,0,1,2020,8,25,25aug2020,.033962265,.0099698463,.015171647,.028750541,.0241709
2020-08-26,677,45.639999,14949,45.98,46.09,45.549999,23550,23450,63,1813,28,2,2213,363363,125,20901,229058,24033329,5155,864701,34,579,364,34,0,1,2020,8,26,26aug2020,.034749035,.0096613085,.015119129,.024248302,.024171362
2020-08-27,934,45.09,1732,45.619999,45.82,44.560001,23450,23350,23,1578,28,2,2243,365606,119,21020,284599,24317928,6683,871384,40,830,378,40,0,0,2020,8,27,27aug2020,.014575412,.0078812642,.015034422,.017806374,.024122545
2020-08-28,772,45.810001,20728,45.560001,45.91,45.34,23450,23350,9,1587,28,2,2190,367796,117,21137,283461,24601389,6375,877759,28,689,270,28,0,1,2020,8,28,28aug2020,.0056710774,.0077259308,.014950213,.018352941,.024080642
2020-08-29,649,45.810001,20728,45.560001,45.91,45.34,23450,23350,8,656,28,2,2115,369911,112,21249,289280,24890669,6030,883789,33,527,227,33,0,0,2020,8,29,29aug2020,.012195121,.0073112557,.014861433,.018573798,.024043068
2020-08-30,2493,45.810001,20728,45.560001,45.91,45.34,23450,23350,9,909,29,2,1905,371816,110,21359,291423,25182092,5783,889572,39,2307,461,39,0,0,2020,8,30,30aug2020,.0099009899,.0065368898,.014765096,.019021269,.024010424
